pl_name,pl_orbper,pl_orbpererr1,pl_tranmid,pl_tranmiderr1,pl_orbsmax,pl_orbsmaxerr1,pl_radj,pl_radjerr1,pl_orbincl,pl_orbinclerr1,pl_orbeccen,pl_orbeccenerr1,pl_orblper,pl_orblpererr1,Transits,Date,Archive Used,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
LTT 3780 c,12.252197981798911,2.396874726394542e-05,2458546.849568503,0.0006973607256603336,0.07581319643637947,0.003863630802991197,0.05158831760988188,0.0014876291250914078,88.93473505903563,0.6161671230980114,0.12904647358677795,0.030379610069194044,107.45995027442603,54.23379374892032,3,11-Apr-2021 04:33:13,NASA,0.0018329285757437933,0.0010648862249632062,0.0026613545138180488,1.4519684776795432,2.4991914172896768,0.0027655787385203467,1.5088306086330112,2.597064995010056,772
LTT 9779 b,0.7920629274858582,1.7971211066825782e-07,2458354.2162122917,0.00010502673031234107,0.016584300802245037,0.0008445989388465008,0.04933071469176735,0.0016547551379669644,75.7714046241678,0.1894688505586241,0.0,0.0,90.0,0.0,60,31-Mar-2021 02:19:16,NASA,0.000615243037049335,7.982623148253158e-05,0.002433519412000551,3.955379037967744,30.485209771340383,0.001574625800966234,2.5593557442243244,19.725668764794566,8734
Lupus-TR-3 b,3.9136405164390298,6.261454274729367e-06,2453887.0815311573,0.00629452533255157,0.04615446101644642,0.0023559500934160443,0.10289057703650864,0.006379443595158425,87.56768225434924,0.3509999176266096,0.0,0.0,90.0,0.0,6,07-Apr-2021 16:02:23,NASA,0.007232712346440339,0.003129122024925825,0.01058647084290572,1.4636930567432247,3.3832080559902966,0.003185304654823805,0.4404025076970592,1.0179547583796489,3756
NGTS-1 b,2.647306747780299,1.6799970806566009e-06,2457720.659970208,0.0008194263510255577,0.03098003811448295,0.0015684036513219466,0.22652063813412496,0.01003116255440715,84.91819590589778,0.0756201229428241,0.0,0.0,90.0,0.0,35,31-Mar-2021 23:11:33,NASA,0.003518372092101386,0.0006309426638846263,0.05131159950069119,14.583903622895319,81.32529695293199,0.007186279178106768,2.042501188046511,11.389749955823007,7072
NGTS-3 A b,1.675832661338008,3.107554647378168e-06,2457620.1681936,0.002917554658565295,0.022910724817710247,0.0011652432724039176,0.16081453871616908,0.0076725790074387065,87.46560626845806,1.1133206224329344,0.0,0.0,90.0,0.0,14,04-Apr-2021 12:50:08,NASA,0.00376200553135724,0.001653674014752539,0.025861315862494242,6.8743428596619065,15.638702447872848,0.0015522995375644164,0.41262553301041655,0.9386974238672472,7719
NGTS-4 b,1.3373504632566389,1.954337605160168e-06,2457607.9932937715,0.002114845312733105,0.01885993781318415,0.0009614086463328508,0.03130136415232373,0.00022745974879048207,81.67270657305241,0.2699679442824825,0.0,0.0,90.0,0.0,37,01-Apr-2021 05:55:00,NASA,0.00253872384275432,0.00044180491292745077,0.000979775397796377,0.38593224725592695,2.2176652389496327,0.0009852153338221203,0.3880750309388664,2.229978221142832,10779
NGTS-6 b,0.8820583167248159,4.07435819596556e-07,2457982.379514784,0.000429154819676752,0.016388895318215482,0.0008295889036085787,0.16962729077575167,0.009710550473356838,77.85531148115403,0.2200275516394829,0.0,0.0,90.0,0.0,57,31-Mar-2021 17:42:06,NASA,0.0037237533266479134,0.0008446258281527678,0.028773417775921413,7.7269935067968,34.06646685059357,0.006145696533219613,1.6504037711735084,7.2762356162615935,9273
NGTS-11 b,35.456014237346594,0.00030588824943481366,2458390.7055324083,0.006370248144971432,0.1989021008115628,0.010134608186246964,0.0942906819945143,0.0014110768739725695,89.06570587466312,0.5365550853799933,0.08913077748624453,0.056973388622740775,25.339530775155865,13.30420784902723,1,11-Apr-2021 04:14:36,NASA,0.0019538822383869774,0.0019544570340979573,0.008890732710990624,4.550290972669032,4.548952755614794,0.007614485579086948,3.89710568502484,3.8959595663873294,671
OGLE2-TR-L9 b,2.4855339750305467,2.053388503336227e-06,2454492.798010285,0.0028789173090435303,0.030219764050355674,0.0015388811756528247,0.0975225205437934,0.002454714057013781,78.23270218039332,0.24171327239486104,0.0,0.0,90.0,0.0,20,03-Apr-2021 08:20:55,NASA,0.010678423079597016,0.0023943272128850892,0.009510642013214606,0.8906410564857972,3.97215633771066,0.0053827700428328296,0.5040791138082502,2.2481346801161566,10979
OGLE-TR-111 b,4.014325199100941,6.012833961125213e-06,2454092.8045229902,0.0034417811674591703,0.048376111875462965,0.0024617563258071645,0.13382183466950118,0.0067817143911930965,84.93994800211938,0.1230291464038842,0.0,0.0,90.0,0.0,12,05-Apr-2021 15:16:49,NASA,0.020000641434062424,0.005273295665140122,0.017908283434311306,0.8953854551790678,3.396032494953125,0.0008611466644927732,0.0430559523469174,0.16330331526553826,1288
