pl_name,pl_orbper,pl_orbpererr1,pl_tranmid,pl_tranmiderr1,pl_orbsmax,pl_orbsmaxerr1,pl_radj,pl_radjerr1,pl_orbincl,pl_orbinclerr1,pl_orbeccen,pl_orbeccenerr1,pl_orblper,pl_orblpererr1,Transits,Date,Archive,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity
WASP-3 b,1.8468337254746208,7.437871985200127e-07,2454640.653065815,0.0017626166442713004,0.03397017093120008,0.0017095291897067516,0.10593395049690868,0.00017875508969084924,84.30943742831664,0.13098983896299307,0.0,0.0,64.12326074801175,22.259071919129724,13,02-Mar-2021 12:22:25,NASA,,,,,
WASP-4 b,1.3382306118667937,1.2225377125579706e-07,2455804.517354413,0.0002746357431747231,0.02226627344505093,0.0011191044994416054,0.1519956755655259,0.00023125058339874062,87.85374302736996,0.5909960725589882,0.0,0.0,282.1648861798604,69.51055761159157,49,02-Mar-2021 13:47:48,NASA,,,,,
WASP-5 b,1.62842963336868,2.95726323879992e-07,2454373.99786175,0.000792439639096,0.026104027049015,0.001320080896504,0.109857787829268,0.000255240169299,86.2945083176737,0.308592756862908,0.099283235701306,0.018999755060499,0.195433383751585,12.669419695073199,28,28-Feb-2021 10:26:56,NASA,,,,,
WASP-8 b,8.158730961454305,1.3331414664732814e-06,2454679.3322963337,0.0006980261359976894,0.08024228554961463,0.004090895601221826,0.11891374317624526,0.00021715422789996192,88.25640323534941,0.03133083173412203,0.26232974971475553,0.012942995198265118,281.378602157717,5.795788247674983,5,03-Mar-2021 21:09:45,NASA,,,,,
WASP-12 b,1.09141766117049,7.32161009315207e-07,2456176.67160808,0.001787825629372,0.023449201208709,0.001192451174436,0.117339534732481,0.000394660299554,83.50686789278059,0.572589171717187,0.02466361441089,0.016137099722744002,189.055855376311,106.11620926533101,21,01-Mar-2021 01:19:45,NASA,,,,,
WASP-13 b,4.353011618235475,3.2295025786745067e-06,2455305.627632747,0.00265612702484729,0.05115801587214287,0.00258341258755705,0.09219536992626133,0.0002074453291379432,86.23350202894733,0.10124714715191444,0.0,0.0,90.0,0.0,7,04-Mar-2021 22:28:04,NASA,,,,,
WASP-15 b,3.752095860723223,4.8610110758927975e-06,2454584.702272073,0.005207279589180124,0.05282804580945915,0.0026857858539953284,0.09267982449734867,0.0003121085993514818,86.55710161883734,0.14901531687129424,0.0,0.0,208.8461411771277,57.930048918062134,5,04-Mar-2021 15:40:24,NASA,,,,,
WASP-16 b,3.1186062482371715,2.354261512459572e-06,2454584.426508611,0.003039622255229148,0.04347620635267805,0.002190239894684449,0.11635965958811445,0.0006088614224653218,84.03357260705778,0.05493493732602212,0.0,0.0,122.98479454558071,45.74130374188258,6,04-Mar-2021 14:41:44,NASA,,,,,
WASP-17 b,3.7354835846160506,4.749486660957392e-06,2454592.803564484,0.005139636072375942,0.05133232918489872,0.002589762012603407,0.12264276164585428,0.00032954601380180633,88.84168512827402,0.3084203248846028,0.0,0.0,70.2494418321335,41.859696648535596,5,04-Mar-2021 13:07:11,NASA,,,,,
WASP-18 b,0.941452437198402,2.26637103055477e-08,2458375.16987874,1.1171080700649e-05,0.020078164820674,0.0010076583757739998,0.098949783802365,5.6796557475945895e-05,83.9237101425587,0.104215487465346,0.0207483510694,0.004288704136219,273.971516720617,17.5954229431123,93,27-Feb-2021 14:10:28,NASA,,,,,
WASP-19 b,0.788839574204594,4.05651504314091e-07,2455708.53265022,0.001461961001706,0.016868217889080002,0.0008483737965239999,0.152649592764572,0.000360427302769,79.9484395350425,0.147813154715048,0.001844996310336,0.0008967429404169998,332.51356321352404,56.83297599176821,29,28-Feb-2021 15:45:32,NASA,,,,,
WASP-20 b,4.899645132617402,1.1897513561123993e-06,2455715.6562547586,0.0007205563999243615,0.062134765191866885,0.0031269827349999072,0.09927145562723942,0.000208200457892968,85.92232931207516,0.05120596712840843,0.0,0.0,90.0,0.0,10,04-Mar-2021 13:14:37,NASA,,,,,
WASP-22 b,3.5327285253904885,4.6337774972804505e-06,2455532.727989976,0.0037900922898666213,0.04729608673122542,0.002394373471568352,0.09888214829612807,0.00033193331176011487,88.59243252481153,0.6731258879764445,0.041206294958694815,0.009725721012095656,45.27402249784954,13.090691318907261,7,04-Mar-2021 12:37:01,NASA,,,,,
WASP-23 b,2.9444270490157587,3.2694021104076636e-06,2455320.124237753,0.003506781376922155,0.0363343322835707,0.001841141676970466,0.1347387156054818,0.0005352358598769405,88.28500922039842,0.4273944127494098,0.0005475456252756886,0.007796117031546891,90.0,0.0,7,04-Mar-2021 12:01:40,NASA,,,,,
WASP-25 b,3.7648415186217212,5.325246566266795e-06,2455888.658789941,0.003810446461143471,0.04383003260388979,0.002194832921088233,0.13762483316499013,0.0002630759331304581,90.85956995473788,0.20895564651313456,0.0,0.0,90.0,0.0,6,10-Mar-2021 19:14:05,NASA,,,,,
